url,role,origine,bundle,shaders,besoin_fix,rebuild_dispo,note
http://cloud-3.steamusercontent.com/ugc/2008089545867128627/19AC5B05F3A355226EE783B9F239B3B285EA077A/,principal,telecharge,ewok_slinger3,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2008089545867128715/CB52DA6C0FC1DF3511C2A2D62CB2B3A13A9D4F8F/,principal,cache,ewok_slinger4,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2008089545867128778/1D5BCB551375F1A7988C434F0B52E18434BB4747/,principal,telecharge,ewok_slinger5,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2008089545867128844/558E1277513B0AF48911A68B5FAAB981BC0A56A1/,principal,telecharge,ewok_trapper,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2008089545867128895/152E8A0BE0A0FB98FAD48338552C6282DD8954B7/,principal,telecharge,ewok_axe,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2008089545867128972/9388116F0C7BE70B991CC7715943BF9FF08D3890/,principal,telecharge,ewok_leader,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2008089545867129049/686925E47D218727E1C79A25E0F44FC80FAEE43F/,secondaire,telecharge,ewok_sharedmat,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2008089545867129131/D612F1B1EBDA3172B69BEE40159CE5D999045A62/,principal,cache,ewok_skirmisher1,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2008089545867129196/6EED0C8AAF8F50751EE4206471D1273B6C0F4B5A/,principal,telecharge,ewok_skirmisher2,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2008089545867129252/FC0A6247B6AB21A99919659C1F9069186C6D82ED/,principal,cache,ewok_skirmisher3,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2008089545867129309/3D6C219F243BDE984C42BB3444B01DB09B522CBB/,principal,telecharge,logray_model,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2017090166650140825/D8AE1D1F27B97F359916236DA163DA7EC4B517C1/,principal,telecharge,storm4,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2017090166650140913/ADEED3994E6F70777B939A89B18FF520765DCDC4/,principal,telecharge,stormcpt,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2017090166650141001/FF62545FC3DEF499BA8A0C04F07917C6CAA9E30D/,principal,telecharge,stormdlt,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2017090166650141088/7342269A721DF49D0C38F1469E8463093734EF66/,principal,telecharge,stormhh12,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2017090166650141156/BF26D516EA8F33C72822FF9AB369FF7CA444C403/,principal,telecharge,stormleader,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2017090166650141221/5D4DAEED517F52EE2ECBC631301C97422F519AB9/,principal,telecharge,stormrt97,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2017090166650141284/6D59924E68B2B1640C0AC479B8DE95F434056650/,principal,telecharge,stormspec,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2017090166650141339/1EB723D5FCF6655CFFF7EF700EE7108274E1A6C7/,principal,telecharge,stormt21,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2017090166650141545/30BEFE4E87E379AA361AFF5FD24A8F5D3F0BA4C0/,principal,telecharge,storm1,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2017090166650141624/1366A6A4D84D9FE597EEA2736AFC187F392418DA/,principal,telecharge,storm2,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2017090166650141692/8E06789B4D2003055108ED85D76E875729254757/,principal,telecharge,storm3,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2017090166650141746/A8FD77EB51C50C64CD924BDAEEDB70D8839E0EF3/,secondaire,telecharge,stormtrooper_mat,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2022718494181455957/4BB3E42AA412A7ED2ED6F26BFDFA25414F127B71/,principal,telecharge,assajventress,BucketheadBits/Units/Color Replacer | BucketheadBits/Units/Glow Geometry,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2023850162084443471/517A8997FB85780B040DD3017147753F438137CC/,principal,telecharge,ahsoka,BucketheadBits/Units/Color Replacer | BucketheadBits/Units/Glow Geometry,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2023850162090106066/B6E661CAB8049A1B1CE975B53BB57B337E2C5DEE/,principal,telecharge,wicket_model,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2058763770177195589/5E52A1E47746FF179ED6327F681D51D92C47D1D5/,principal,telecharge,bugsonic,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2058763770177195724/233E75C81DB511291B2B95015510DF1B48B2A8DB/,principal,telecharge,sunfac,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2058763770177195807/C1E3DCF8DC0772F56B22E42E89DECC9F30110E8D/,principal,telecharge,bugpike,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2058763770177195881/84020A8311904050DC9309FE9109D47BC41FE4AA/,secondaire,telecharge,bugshared,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2058763770177195973/1D70D4C8D0C6A06E14A7A875228E3CD49D5E0807/,principal,telecharge,poggle,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2058763770177201554/7AEA5B0A98A298731F6BE51591401BBF095A5797/,principal,telecharge,bug1,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2058763770177201933/E0DBF0D812FFF4F7F3A77CF1E4EAB84F78B8C49E/,principal,cache,bug2,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2058763770177202012/76CB0371503304D5AAF562E5E2F04961CD206090/,principal,telecharge,bug3,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2058763770177202081/37F68E146C49B315AA46E15BE88DDB56AE97646C/,principal,telecharge,bugleader,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446809184624/F2826DD52329584D1C3B3795B0E55948EA96B467/,principal,telecharge,cloneengineer,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446809184711/BC2EE95F62E043F83A352F825B6A041AC6D59959/,principal,telecharge,clonemedic,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446809184812/3A020CF4B5983E1AF55F65A3F8F7BDCBAAEAAACC/,principal,telecharge,clonetechnician,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446809185328/4A6DA42CDB70EF979D5B8B675CEFA5459FA60D4E/,principal,telecharge,p2_mortar,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446809185513/A794F69FD4F7FF6093A8E4564633AF49C95DE79D/,principal,telecharge,drksithprobe,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446809185590/81774E94925CD5B15B7CE0DC52DEC465D9774024/,principal,telecharge,maul,BucketheadBits/Units/Color Replacer | BucketheadBits/Units/Glow Geometry,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446809185654/E58BE2AB7BC859E1A896FF9B9909B6976E69CF4B/,principal,telecharge,pkworker,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446809185719/FF120BC2FA5DC8258021E2849C2B81591CCA36B9/,principal,telecharge,tseries,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446809185784/C7B137C19E24986DBE1E9A2712676AB320E4B2A9/,principal,telecharge,viper,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446809185852/7940F0BEFCFE905039054DA1CA3BBF3C0CB2C7A9/,principal,telecharge,clanwrenchump,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446809185988/83F7A4664576B192905C6393A6D9A5DAA776E01A/,principal,telecharge,tristanwren,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446809186071/A6DB57CF6BA2EEDAB6EB8A719DB8D0702708C759/,principal,telecharge,ursawren,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446809186179/35024924D8BC8A727F508557AF7B714D2E3D22FF/,principal,telecharge,mandoresistance_2,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446809186272/7872209AB5CBE104129F9AFC58267EB8F6CF80D1/,principal,telecharge,mandoresistance_1,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446809186354/387C36C2BB545E6CC882A05C0D81F5BE164166B7/,principal,telecharge,clonecommander,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446809186437/C255A6920C6B62ADD6B948311053BAAE4803BE29/,principal,telecharge,mandoresistance_leader,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446809186518/DCA8031C62A867134FAA814D4976978058C01369/,principal,telecharge,lando,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446809186599/4B154E18EF2C0ADE6C347FC4B15AD856D00546DF/,principal,telecharge,sabine,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446809252570/7F009B812ED06B7E45CFCE48142293A4B9C77991/,principal,telecharge,mandoduelist,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446813135349/81275DD398B659088A018A09394B7FD6E5C3B279/,principal,telecharge,waxer,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446813135454/32F343B3295B563DF3041AF5F433E151F88C66B6/,principal,telecharge,boil,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2174736446813135529/6A6C874DBCA77E800A77C20FD36C2F223661CD10/,principal,telecharge,cody,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2202884666993392985/D48A26F5F9D3498814911131BA08B0BAF92F8B65/,principal,telecharge,atrt_gar,BucketheadBits/Units/Color Replacer,oui,oui,
